run_name,total_time,mean_iter_time,mean_tps,peak_mem_usage
dtype=float32_tensorcores_compile_flash_fused_adamw,28.23257875442505,0.026543780377036648,9644.44387211208,2124
dtype=float32_tensorcores_compile_flash,6.535501956939697,0.031323131762052835,8172.8737070326215,2269
dtype=float32_tensorcores_compile_fused_adamw,26.86571192741394,0.026609797226755244,9620.516752476442,2122
dtype=float32_tensorcores_compile,6.549628257751465,0.03129035548159951,8181.434696404853,2266
dtype=float32_tensorcores_flash_fused_adamw,6.379804611206055,0.026994705200195312,9483.341199745637,2269
dtype=float32_tensorcores_flash,6.3947913646698,0.0306389708268015,8355.372034104472,2269
dtype=float32_tensorcores_fused_adamw,6.370463132858276,0.029432660654971476,8697.820526692989,2268
dtype=float32_tensorcores,6.804697513580322,0.03364330843875283,7609.239753160555,2268
dtype=float32_compile_flash_fused_adamw,6.001163482666016,0.02729090891386333,9380.41311881541,2123
dtype=float32_compile_flash,6.4394495487213135,0.031084813569721422,8235.532744174481,2268
dtype=float32_compile_fused_adamw,6.0068464279174805,0.02691271430567691,9512.232660456693,2122
dtype=float32_compile,6.40015721321106,0.030968904495239258,8266.356339448623,2266
dtype=float32_flash_fused_adamw,6.055835247039795,0.026799691350836503,9552.348818077318,2269
dtype=float32_flash,6.391772031784058,0.030754779514513518,8323.909455412964,2269
dtype=float32_fused_adamw,6.296687602996826,0.030008868167274876,8530.811577864568,2268
dtype=float32,6.827043056488037,0.03355037538628829,7630.3170099439385,2268
dtype=float16_tensorcores_compile_flash_fused_adamw,5.886934995651245,0.02567583636233681,9970.46391740989,2123
dtype=float16_tensorcores_compile_flash,6.458719491958618,0.030637929314061216,8355.656068522532,2268
dtype=float16_tensorcores_compile_fused_adamw,6.074753046035767,0.026953621914512234,9497.795910766477,2122
dtype=float16_tensorcores_compile,6.461086273193359,0.031377591584858144,8158.6886395556785,2266
dtype=float16_tensorcores_flash_fused_adamw,6.45592188835144,0.029985992532027394,8537.319541001416,2123
dtype=float16_tensorcores_flash,6.816047668457031,0.03320253522772538,7710.25460086645,2270
dtype=float16_tensorcores_fused_adamw,6.868711948394775,0.03516938811854312,7279.057546782384,2124
dtype=float16_tensorcores,7.109036445617676,0.03677338048031455,6961.557427037239,2270
dtype=float16_compile_flash_fused_adamw,6.006745338439941,0.025594836787173624,10002.01728687286,2123
dtype=float16_compile_flash,6.458942174911499,0.030521819466038755,8387.442311060388,2268
dtype=float16_compile_fused_adamw,6.18463397026062,0.026850976442035875,9534.103929242052,2122
dtype=float16_compile,6.517489671707153,0.03108827691329153,8234.615276813536,2266
dtype=float16_flash_fused_adamw,6.28208065032959,0.028856428045975536,8871.506882006592,2123
dtype=float16_flash,6.69385552406311,0.03364436249983938,7609.001359476559,2270
dtype=float16_fused_adamw,6.655002117156982,0.03358867293909976,7621.616979752617,2124
dtype=float16,7.074718236923218,0.03701597765872353,6915.9324214058315,2270
dtype=bfloat16_tensorcores_compile_flash_fused_adamw,5.998777866363525,0.025799889313547236,9922.523189492027,2123
dtype=bfloat16_tensorcores_compile_flash,6.432744026184082,0.030928674497102435,8277.108675445612,2268
dtype=bfloat16_tensorcores_compile_fused_adamw,6.074147462844849,0.02693033218383789,9506.00973847761,2122
dtype=bfloat16_tensorcores_compile,6.465845823287964,0.03043539900528757,8411.258217956167,2266
dtype=bfloat16_tensorcores_flash_fused_adamw,6.331347227096558,0.029163109628777755,8778.213409292359,2123
dtype=bfloat16_tensorcores_flash,6.694775104522705,0.03245071360939428,7888.886607593418,2270
dtype=bfloat16_tensorcores_fused_adamw,6.65073037147522,0.03304366061561986,7747.325666424132,2124
dtype=bfloat16_tensorcores,7.246810674667358,0.03648311213443154,7016.945239120534,2270
dtype=bfloat16_compile_flash_fused_adamw,5.920211315155029,0.025722679338957135,9952.306936093031,2123
dtype=bfloat16_compile_flash,6.399148941040039,0.03054542290536981,8380.961062254464,2268
dtype=bfloat16_compile_fused_adamw,5.986741542816162,0.02659338398983604,9626.45446317937,2122
dtype=bfloat16_compile,6.456594228744507,0.030647654282419307,8353.004691352566,2266
dtype=bfloat16_flash_fused_adamw,6.418383598327637,0.028758688976890164,8901.657520122557,2123
dtype=bfloat16_flash,6.579168319702148,0.0328207392441599,7799.946189376355,2270
dtype=bfloat16_fused_adamw,6.7192771434783936,0.03314132439462762,7724.495163551729,2124
dtype=bfloat16,6.976173400878906,0.036370264856438884,7038.716957670945,2270
